"Id","Designator","Footprint","Quantity","Designation","Supplier and ref",
1,"C16,C15,C17","C_0402_1005Metric",3,"4.7uF"
2,"J3,J2","PinHeader_1x07_P2.54mm_Vertical",2,"Conn_01x07"
3,"Y1","Crystal_SMD_3225-4Pin_3.2x2.5mm",1,"12MHz"
4,"C12,C11","C_0603_1608Metric",2,"10u"
5,"L1","L_0402_1005Metric",1,"3.3uH"
6,"C7,C10,C4,C5,C8,C6,C2,C3,C1","C_0402_1005Metric",9,"100n"
7,"R3,R4","R_0402_1005Metric",2,"27"
8,"C13,C14","C_0402_1005Metric",2,"33pF"
9,"R5","R_0402_1005Metric",1,"1k"
10,"R8","R_0402_1005Metric",1,"33"
11,"C9","C_0402_1005Metric",1,"4.7u"
12,"J4","USB_Micro-B_Amphenol_10103594-0001LF_Horizontal_modified",1,"USB_B_Micro"
13,"U1","SOT-23",1,"MCP1700x-330xxTT"
14,"U2","RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias",1,"RP2350_60QFN"
15,"SW2","SW_Push_SPST_NO_Alps_SKRK",1,"SW_Push"
